"","year","state","county","category","type","rate","unit","age","race","gender","fips","income"
"477","2013","GA","charlton","Cardiovascular Diseases","All stroke",234.4,"per 100,000","Ages 65 years and older","Overall","Overall","13049",21843
"478","2011","GA","charlton","Cardiovascular Diseases","All stroke",263.5,"per 100,000","Ages 65 years and older","Overall","Overall","13049",20778
"479","2010","GA","charlton","Cardiovascular Diseases","All stroke",285,"per 100,000","Ages 65 years and older","Overall","Overall","13049",20799
"480","2012","GA","charlton","Cardiovascular Diseases","All stroke",249.9,"per 100,000","Ages 65 years and older","Overall","Overall","13049",21167
"481","2013","GA","chatham","Cardiovascular Diseases","All stroke",25.6,"per 100,000","Ages 35-64 years","Overall","Overall","13051",40422
"482","2014","GA","chatham","Cardiovascular Diseases","All stroke",26,"per 100,000","Ages 35-64 years","Overall","Overall","13051",41651
"483","2019","GA","chatham","Cardiovascular Diseases","All stroke",22.4,"per 100,000","Ages 35-64 years","Overall","Overall","13051",47724
"484","2017","GA","chatham","Cardiovascular Diseases","All stroke",24.2,"per 100,000","Ages 35-64 years","Overall","Overall","13051",44911
"485","2016","GA","chatham","Cardiovascular Diseases","All stroke",24.4,"per 100,000","Ages 35-64 years","Overall","Overall","13051",43045
"486","2015","GA","chatham","Cardiovascular Diseases","All stroke",24.8,"per 100,000","Ages 35-64 years","Overall","Overall","13051",43154
"487","2011","GA","chatham","Cardiovascular Diseases","All stroke",24.9,"per 100,000","Ages 35-64 years","Overall","Overall","13051",40426
"488","2018","GA","chatham","Cardiovascular Diseases","All stroke",23.5,"per 100,000","Ages 35-64 years","Overall","Overall","13051",46526
"489","2012","GA","chatham","Cardiovascular Diseases","All stroke",26.3,"per 100,000","Ages 35-64 years","Overall","Overall","13051",40272
"490","2010","GA","chatham","Cardiovascular Diseases","All stroke",26.4,"per 100,000","Ages 35-64 years","Overall","Overall","13051",38445
"491","2016","GA","chatham","Cardiovascular Diseases","All stroke",271,"per 100,000","Ages 65 years and older","Overall","Overall","13051",43045
"492","2014","GA","chatham","Cardiovascular Diseases","All stroke",283.5,"per 100,000","Ages 65 years and older","Overall","Overall","13051",41651
"493","2015","GA","chatham","Cardiovascular Diseases","All stroke",278.7,"per 100,000","Ages 65 years and older","Overall","Overall","13051",43154
"494","2017","GA","chatham","Cardiovascular Diseases","All stroke",265.9,"per 100,000","Ages 65 years and older","Overall","Overall","13051",44911
"495","2019","GA","chatham","Cardiovascular Diseases","All stroke",247.4,"per 100,000","Ages 65 years and older","Overall","Overall","13051",47724
"496","2018","GA","chatham","Cardiovascular Diseases","All stroke",263.8,"per 100,000","Ages 65 years and older","Overall","Overall","13051",46526
"497","2013","GA","chatham","Cardiovascular Diseases","All stroke",267.6,"per 100,000","Ages 65 years and older","Overall","Overall","13051",40422
"498","2011","GA","chatham","Cardiovascular Diseases","All stroke",257.9,"per 100,000","Ages 65 years and older","Overall","Overall","13051",40426
"499","2010","GA","chatham","Cardiovascular Diseases","All stroke",271.5,"per 100,000","Ages 65 years and older","Overall","Overall","13051",38445
"500","2012","GA","chatham","Cardiovascular Diseases","All stroke",270.7,"per 100,000","Ages 65 years and older","Overall","Overall","13051",40272
"501","2013","GA","chattahoochee","Cardiovascular Diseases","All stroke",22.5,"per 100,000","Ages 35-64 years","Overall","Overall","13053",28364
"502","2014","GA","chattahoochee","Cardiovascular Diseases","All stroke",22.5,"per 100,000","Ages 35-64 years","Overall","Overall","13053",28253
"503","2019","GA","chattahoochee","Cardiovascular Diseases","All stroke",22.1,"per 100,000","Ages 35-64 years","Overall","Overall","13053",32636
"504","2017","GA","chattahoochee","Cardiovascular Diseases","All stroke",21.5,"per 100,000","Ages 35-64 years","Overall","Overall","13053",33845
"505","2016","GA","chattahoochee","Cardiovascular Diseases","All stroke",22.9,"per 100,000","Ages 35-64 years","Overall","Overall","13053",32187
"506","2015","GA","chattahoochee","Cardiovascular Diseases","All stroke",24.4,"per 100,000","Ages 35-64 years","Overall","Overall","13053",30466
"507","2011","GA","chattahoochee","Cardiovascular Diseases","All stroke",25.9,"per 100,000","Ages 35-64 years","Overall","Overall","13053",32496
"508","2018","GA","chattahoochee","Cardiovascular Diseases","All stroke",22.4,"per 100,000","Ages 35-64 years","Overall","Overall","13053",32486
"509","2012","GA","chattahoochee","Cardiovascular Diseases","All stroke",24.1,"per 100,000","Ages 35-64 years","Overall","Overall","13053",30107
"510","2010","GA","chattahoochee","Cardiovascular Diseases","All stroke",28.1,"per 100,000","Ages 35-64 years","Overall","Overall","13053",30688
"511","2016","GA","chattahoochee","Cardiovascular Diseases","All stroke",312.7,"per 100,000","Ages 65 years and older","Overall","Overall","13053",32187
"512","2014","GA","chattahoochee","Cardiovascular Diseases","All stroke",305.3,"per 100,000","Ages 65 years and older","Overall","Overall","13053",28253
"513","2015","GA","chattahoochee","Cardiovascular Diseases","All stroke",330.8,"per 100,000","Ages 65 years and older","Overall","Overall","13053",30466
"514","2017","GA","chattahoochee","Cardiovascular Diseases","All stroke",327.3,"per 100,000","Ages 65 years and older","Overall","Overall","13053",33845
"515","2019","GA","chattahoochee","Cardiovascular Diseases","All stroke",334.8,"per 100,000","Ages 65 years and older","Overall","Overall","13053",32636
"516","2018","GA","chattahoochee","Cardiovascular Diseases","All stroke",340.6,"per 100,000","Ages 65 years and older","Overall","Overall","13053",32486
"517","2013","GA","chattahoochee","Cardiovascular Diseases","All stroke",297.2,"per 100,000","Ages 65 years and older","Overall","Overall","13053",28364
"518","2011","GA","chattahoochee","Cardiovascular Diseases","All stroke",318.9,"per 100,000","Ages 65 years and older","Overall","Overall","13053",32496
"519","2010","GA","chattahoochee","Cardiovascular Diseases","All stroke",347.3,"per 100,000","Ages 65 years and older","Overall","Overall","13053",30688
"520","2012","GA","chattahoochee","Cardiovascular Diseases","All stroke",296.8,"per 100,000","Ages 65 years and older","Overall","Overall","13053",30107
"521","2013","GA","chattooga","Cardiovascular Diseases","All stroke",21,"per 100,000","Ages 35-64 years","Overall","Overall","13055",26225
"522","2014","GA","chattooga","Cardiovascular Diseases","All stroke",21.6,"per 100,000","Ages 35-64 years","Overall","Overall","13055",27178
"523","2019","GA","chattooga","Cardiovascular Diseases","All stroke",20.8,"per 100,000","Ages 35-64 years","Overall","Overall","13055",31192
"524","2017","GA","chattooga","Cardiovascular Diseases","All stroke",21.9,"per 100,000","Ages 35-64 years","Overall","Overall","13055",29625
"525","2016","GA","chattooga","Cardiovascular Diseases","All stroke",23,"per 100,000","Ages 35-64 years","Overall","Overall","13055",28239
"526","2015","GA","chattooga","Cardiovascular Diseases","All stroke",22.6,"per 100,000","Ages 35-64 years","Overall","Overall","13055",28133
"527","2011","GA","chattooga","Cardiovascular Diseases","All stroke",21.1,"per 100,000","Ages 35-64 years","Overall","Overall","13055",24843
"528","2018","GA","chattooga","Cardiovascular Diseases","All stroke",21.4,"per 100,000","Ages 35-64 years","Overall","Overall","13055",30242
"529","2012","GA","chattooga","Cardiovascular Diseases","All stroke",21.4,"per 100,000","Ages 35-64 years","Overall","Overall","13055",24895
"530","2010","GA","chattooga","Cardiovascular Diseases","All stroke",20.6,"per 100,000","Ages 35-64 years","Overall","Overall","13055",24280
"531","2016","GA","chattooga","Cardiovascular Diseases","All stroke",328.7,"per 100,000","Ages 65 years and older","Overall","Overall","13055",28239
"532","2014","GA","chattooga","Cardiovascular Diseases","All stroke",309.6,"per 100,000","Ages 65 years and older","Overall","Overall","13055",27178
"533","2015","GA","chattooga","Cardiovascular Diseases","All stroke",332.4,"per 100,000","Ages 65 years and older","Overall","Overall","13055",28133
"534","2017","GA","chattooga","Cardiovascular Diseases","All stroke",328.3,"per 100,000","Ages 65 years and older","Overall","Overall","13055",29625
"535","2019","GA","chattooga","Cardiovascular Diseases","All stroke",292.3,"per 100,000","Ages 65 years and older","Overall","Overall","13055",31192
"536","2018","GA","chattooga","Cardiovascular Diseases","All stroke",315.6,"per 100,000","Ages 65 years and older","Overall","Overall","13055",30242
"537","2013","GA","chattooga","Cardiovascular Diseases","All stroke",316.7,"per 100,000","Ages 65 years and older","Overall","Overall","13055",26225
"538","2011","GA","chattooga","Cardiovascular Diseases","All stroke",320.8,"per 100,000","Ages 65 years and older","Overall","Overall","13055",24843
"539","2010","GA","chattooga","Cardiovascular Diseases","All stroke",330,"per 100,000","Ages 65 years and older","Overall","Overall","13055",24280
"540","2012","GA","chattooga","Cardiovascular Diseases","All stroke",327.4,"per 100,000","Ages 65 years and older","Overall","Overall","13055",24895
"541","2013","GA","cherokee","Cardiovascular Diseases","All stroke",10.4,"per 100,000","Ages 35-64 years","Overall","Overall","13057",41527
"542","2014","GA","cherokee","Cardiovascular Diseases","All stroke",11,"per 100,000","Ages 35-64 years","Overall","Overall","13057",43561
"543","2019","GA","cherokee","Cardiovascular Diseases","All stroke",11.5,"per 100,000","Ages 35-64 years","Overall","Overall","13057",53954
"544","2017","GA","cherokee","Cardiovascular Diseases","All stroke",10.8,"per 100,000","Ages 35-64 years","Overall","Overall","13057",49879
"545","2016","GA","cherokee","Cardiovascular Diseases","All stroke",11.6,"per 100,000","Ages 35-64 years","Overall","Overall","13057",48610
"546","2015","GA","cherokee","Cardiovascular Diseases","All stroke",11.2,"per 100,000","Ages 35-64 years","Overall","Overall","13057",46322
"547","2011","GA","cherokee","Cardiovascular Diseases","All stroke",10.6,"per 100,000","Ages 35-64 years","Overall","Overall","13057",39007
"548","2018","GA","cherokee","Cardiovascular Diseases","All stroke",10.9,"per 100,000","Ages 35-64 years","Overall","Overall","13057",51614
"549","2012","GA","cherokee","Cardiovascular Diseases","All stroke",10.2,"per 100,000","Ages 35-64 years","Overall","Overall","13057",41102
"550","2010","GA","cherokee","Cardiovascular Diseases","All stroke",11.1,"per 100,000","Ages 35-64 years","Overall","Overall","13057",36944
"551","2016","GA","cherokee","Cardiovascular Diseases","All stroke",282.6,"per 100,000","Ages 65 years and older","Overall","Overall","13057",48610
"552","2014","GA","cherokee","Cardiovascular Diseases","All stroke",252.2,"per 100,000","Ages 65 years and older","Overall","Overall","13057",43561
"553","2015","GA","cherokee","Cardiovascular Diseases","All stroke",276.4,"per 100,000","Ages 65 years and older","Overall","Overall","13057",46322
"554","2017","GA","cherokee","Cardiovascular Diseases","All stroke",319.1,"per 100,000","Ages 65 years and older","Overall","Overall","13057",49879
"555","2019","GA","cherokee","Cardiovascular Diseases","All stroke",287.9,"per 100,000","Ages 65 years and older","Overall","Overall","13057",53954
"556","2018","GA","cherokee","Cardiovascular Diseases","All stroke",309.9,"per 100,000","Ages 65 years and older","Overall","Overall","13057",51614
"557","2013","GA","cherokee","Cardiovascular Diseases","All stroke",242.2,"per 100,000","Ages 65 years and older","Overall","Overall","13057",41527
"558","2011","GA","cherokee","Cardiovascular Diseases","All stroke",262.4,"per 100,000","Ages 65 years and older","Overall","Overall","13057",39007
"559","2010","GA","cherokee","Cardiovascular Diseases","All stroke",275,"per 100,000","Ages 65 years and older","Overall","Overall","13057",36944
"560","2012","GA","cherokee","Cardiovascular Diseases","All stroke",245,"per 100,000","Ages 65 years and older","Overall","Overall","13057",41102
"561","2013","GA","clarke","Cardiovascular Diseases","All stroke",21.4,"per 100,000","Ages 35-64 years","Overall","Overall","13059",27475
"562","2014","GA","clarke","Cardiovascular Diseases","All stroke",22.9,"per 100,000","Ages 35-64 years","Overall","Overall","13059",29206
"563","2019","GA","clarke","Cardiovascular Diseases","All stroke",23.5,"per 100,000","Ages 35-64 years","Overall","Overall","13059",35408
"564","2017","GA","clarke","Cardiovascular Diseases","All stroke",23.4,"per 100,000","Ages 35-64 years","Overall","Overall","13059",32173
"565","2016","GA","clarke","Cardiovascular Diseases","All stroke",23.2,"per 100,000","Ages 35-64 years","Overall","Overall","13059",31384
"566","2015","GA","clarke","Cardiovascular Diseases","All stroke",23.6,"per 100,000","Ages 35-64 years","Overall","Overall","13059",30469
"567","2011","GA","clarke","Cardiovascular Diseases","All stroke",20.3,"per 100,000","Ages 35-64 years","Overall","Overall","13059",27201
"568","2018","GA","clarke","Cardiovascular Diseases","All stroke",23.7,"per 100,000","Ages 35-64 years","Overall","Overall","13059",33267
"569","2012","GA","clarke","Cardiovascular Diseases","All stroke",21.3,"per 100,000","Ages 35-64 years","Overall","Overall","13059",27234
"570","2010","GA","clarke","Cardiovascular Diseases","All stroke",21.6,"per 100,000","Ages 35-64 years","Overall","Overall","13059",25874
"571","2017","GA","clarke","Cardiovascular Diseases","All stroke",328.8,"per 100,000","Ages 65 years and older","Overall","Overall","13059",32173
"572","2016","GA","clarke","Cardiovascular Diseases","All stroke",326.6,"per 100,000","Ages 65 years and older","Overall","Overall","13059",31384
"573","2014","GA","clarke","Cardiovascular Diseases","All stroke",301,"per 100,000","Ages 65 years and older","Overall","Overall","13059",29206
"574","2015","GA","clarke","Cardiovascular Diseases","All stroke",321,"per 100,000","Ages 65 years and older","Overall","Overall","13059",30469
"575","2019","GA","clarke","Cardiovascular Diseases","All stroke",314,"per 100,000","Ages 65 years and older","Overall","Overall","13059",35408
"576","2018","GA","clarke","Cardiovascular Diseases","All stroke",340.2,"per 100,000","Ages 65 years and older","Overall","Overall","13059",33267
"577","2013","GA","clarke","Cardiovascular Diseases","All stroke",286.6,"per 100,000","Ages 65 years and older","Overall","Overall","13059",27475
"578","2011","GA","clarke","Cardiovascular Diseases","All stroke",287.7,"per 100,000","Ages 65 years and older","Overall","Overall","13059",27201
"579","2010","GA","clarke","Cardiovascular Diseases","All stroke",296.2,"per 100,000","Ages 65 years and older","Overall","Overall","13059",25874
"580","2012","GA","clarke","Cardiovascular Diseases","All stroke",290,"per 100,000","Ages 65 years and older","Overall","Overall","13059",27234
"581","2013","GA","clay","Cardiovascular Diseases","All stroke",25.2,"per 100,000","Ages 35-64 years","Overall","Overall","13061",27407
"582","2014","GA","clay","Cardiovascular Diseases","All stroke",25.2,"per 100,000","Ages 35-64 years","Overall","Overall","13061",25899
"583","2019","GA","clay","Cardiovascular Diseases","All stroke",25.3,"per 100,000","Ages 35-64 years","Overall","Overall","13061",33969
"584","2017","GA","clay","Cardiovascular Diseases","All stroke",24.6,"per 100,000","Ages 35-64 years","Overall","Overall","13061",31083
"585","2016","GA","clay","Cardiovascular Diseases","All stroke",24.6,"per 100,000","Ages 35-64 years","Overall","Overall","13061",30333
"586","2015","GA","clay","Cardiovascular Diseases","All stroke",26.4,"per 100,000","Ages 35-64 years","Overall","Overall","13061",28607
"587","2011","GA","clay","Cardiovascular Diseases","All stroke",27,"per 100,000","Ages 35-64 years","Overall","Overall","13061",26531
"588","2018","GA","clay","Cardiovascular Diseases","All stroke",25.7,"per 100,000","Ages 35-64 years","Overall","Overall","13061",32364
"589","2012","GA","clay","Cardiovascular Diseases","All stroke",27.6,"per 100,000","Ages 35-64 years","Overall","Overall","13061",26624
"590","2010","GA","clay","Cardiovascular Diseases","All stroke",28.3,"per 100,000","Ages 35-64 years","Overall","Overall","13061",25963
"591","2016","GA","clay","Cardiovascular Diseases","All stroke",298.4,"per 100,000","Ages 65 years and older","Overall","Overall","13061",30333
"592","2014","GA","clay","Cardiovascular Diseases","All stroke",293.9,"per 100,000","Ages 65 years and older","Overall","Overall","13061",25899
"593","2015","GA","clay","Cardiovascular Diseases","All stroke",308,"per 100,000","Ages 65 years and older","Overall","Overall","13061",28607
"594","2017","GA","clay","Cardiovascular Diseases","All stroke",305.7,"per 100,000","Ages 65 years and older","Overall","Overall","13061",31083
"595","2019","GA","clay","Cardiovascular Diseases","All stroke",315,"per 100,000","Ages 65 years and older","Overall","Overall","13061",33969
"596","2018","GA","clay","Cardiovascular Diseases","All stroke",318.4,"per 100,000","Ages 65 years and older","Overall","Overall","13061",32364
"597","2013","GA","clay","Cardiovascular Diseases","All stroke",291.6,"per 100,000","Ages 65 years and older","Overall","Overall","13061",27407
"598","2011","GA","clay","Cardiovascular Diseases","All stroke",320.3,"per 100,000","Ages 65 years and older","Overall","Overall","13061",26531
"599","2010","GA","clay","Cardiovascular Diseases","All stroke",347.3,"per 100,000","Ages 65 years and older","Overall","Overall","13061",25963
"600","2012","GA","clay","Cardiovascular Diseases","All stroke",309.4,"per 100,000","Ages 65 years and older","Overall","Overall","13061",26624
"601","2013","GA","clayton","Cardiovascular Diseases","All stroke",20.9,"per 100,000","Ages 35-64 years","Overall","Overall","13063",24433
"602","2014","GA","clayton","Cardiovascular Diseases","All stroke",22.6,"per 100,000","Ages 35-64 years","Overall","Overall","13063",25279
"603","2019","GA","clayton","Cardiovascular Diseases","All stroke",21.3,"per 100,000","Ages 35-64 years","Overall","Overall","13063",28280
"604","2017","GA","clayton","Cardiovascular Diseases","All stroke",22,"per 100,000","Ages 35-64 years","Overall","Overall","13063",26433
"605","2016","GA","clayton","Cardiovascular Diseases","All stroke",22,"per 100,000","Ages 35-64 years","Overall","Overall","13063",26265
"606","2015","GA","clayton","Cardiovascular Diseases","All stroke",23.1,"per 100,000","Ages 35-64 years","Overall","Overall","13063",25942
"607","2011","GA","clayton","Cardiovascular Diseases","All stroke",22.3,"per 100,000","Ages 35-64 years","Overall","Overall","13063",25941
"608","2018","GA","clayton","Cardiovascular Diseases","All stroke",21,"per 100,000","Ages 35-64 years","Overall","Overall","13063",27092
"609","2012","GA","clayton","Cardiovascular Diseases","All stroke",21.6,"per 100,000","Ages 35-64 years","Overall","Overall","13063",24379
"610","2010","GA","clayton","Cardiovascular Diseases","All stroke",23.6,"per 100,000","Ages 35-64 years","Overall","Overall","13063",24788
"611","2016","GA","clayton","Cardiovascular Diseases","All stroke",323.4,"per 100,000","Ages 65 years and older","Overall","Overall","13063",26265
"612","2014","GA","clayton","Cardiovascular Diseases","All stroke",294.8,"per 100,000","Ages 65 years and older","Overall","Overall","13063",25279
"613","2015","GA","clayton","Cardiovascular Diseases","All stroke",322.1,"per 100,000","Ages 65 years and older","Overall","Overall","13063",25942
"614","2017","GA","clayton","Cardiovascular Diseases","All stroke",338.8,"per 100,000","Ages 65 years and older","Overall","Overall","13063",26433
"615","2019","GA","clayton","Cardiovascular Diseases","All stroke",333.6,"per 100,000","Ages 65 years and older","Overall","Overall","13063",28280
"616","2018","GA","clayton","Cardiovascular Diseases","All stroke",353.1,"per 100,000","Ages 65 years and older","Overall","Overall","13063",27092
"617","2013","GA","clayton","Cardiovascular Diseases","All stroke",273.8,"per 100,000","Ages 65 years and older","Overall","Overall","13063",24433
"618","2011","GA","clayton","Cardiovascular Diseases","All stroke",278.4,"per 100,000","Ages 65 years and older","Overall","Overall","13063",25941
"619","2010","GA","clayton","Cardiovascular Diseases","All stroke",296.6,"per 100,000","Ages 65 years and older","Overall","Overall","13063",24788
"620","2012","GA","clayton","Cardiovascular Diseases","All stroke",270.2,"per 100,000","Ages 65 years and older","Overall","Overall","13063",24379
"621","2013","GA","clinch","Cardiovascular Diseases","All stroke",21.3,"per 100,000","Ages 35-64 years","Overall","Overall","13065",30369
"622","2014","GA","clinch","Cardiovascular Diseases","All stroke",22.1,"per 100,000","Ages 35-64 years","Overall","Overall","13065",31609
"623","2019","GA","clinch","Cardiovascular Diseases","All stroke",23.9,"per 100,000","Ages 35-64 years","Overall","Overall","13065",37877
"624","2017","GA","clinch","Cardiovascular Diseases","All stroke",24.2,"per 100,000","Ages 35-64 years","Overall","Overall","13065",34995
"625","2016","GA","clinch","Cardiovascular Diseases","All stroke",23.9,"per 100,000","Ages 35-64 years","Overall","Overall","13065",34249
"626","2015","GA","clinch","Cardiovascular Diseases","All stroke",24,"per 100,000","Ages 35-64 years","Overall","Overall","13065",33395
"627","2011","GA","clinch","Cardiovascular Diseases","All stroke",22,"per 100,000","Ages 35-64 years","Overall","Overall","13065",28990
"628","2018","GA","clinch","Cardiovascular Diseases","All stroke",24.4,"per 100,000","Ages 35-64 years","Overall","Overall","13065",35934
"629","2012","GA","clinch","Cardiovascular Diseases","All stroke",22,"per 100,000","Ages 35-64 years","Overall","Overall","13065",29302
"630","2010","GA","clinch","Cardiovascular Diseases","All stroke",22.8,"per 100,000","Ages 35-64 years","Overall","Overall","13065",25967
"631","2016","GA","clinch","Cardiovascular Diseases","All stroke",292.4,"per 100,000","Ages 65 years and older","Overall","Overall","13065",34249
"632","2014","GA","clinch","Cardiovascular Diseases","All stroke",300,"per 100,000","Ages 65 years and older","Overall","Overall","13065",31609
"633","2015","GA","clinch","Cardiovascular Diseases","All stroke",309.4,"per 100,000","Ages 65 years and older","Overall","Overall","13065",33395
"634","2017","GA","clinch","Cardiovascular Diseases","All stroke",301.1,"per 100,000","Ages 65 years and older","Overall","Overall","13065",34995
"635","2019","GA","clinch","Cardiovascular Diseases","All stroke",314.3,"per 100,000","Ages 65 years and older","Overall","Overall","13065",37877
"636","2018","GA","clinch","Cardiovascular Diseases","All stroke",320.1,"per 100,000","Ages 65 years and older","Overall","Overall","13065",35934
"637","2013","GA","clinch","Cardiovascular Diseases","All stroke",274.7,"per 100,000","Ages 65 years and older","Overall","Overall","13065",30369
"638","2011","GA","clinch","Cardiovascular Diseases","All stroke",311.4,"per 100,000","Ages 65 years and older","Overall","Overall","13065",28990
"639","2010","GA","clinch","Cardiovascular Diseases","All stroke",331.9,"per 100,000","Ages 65 years and older","Overall","Overall","13065",25967
"640","2012","GA","clinch","Cardiovascular Diseases","All stroke",282.8,"per 100,000","Ages 65 years and older","Overall","Overall","13065",29302
"641","2013","GA","cobb","Cardiovascular Diseases","All stroke",12,"per 100,000","Ages 35-64 years","Overall","Overall","13067",45741
"642","2014","GA","cobb","Cardiovascular Diseases","All stroke",12.4,"per 100,000","Ages 35-64 years","Overall","Overall","13067",48582
"643","2019","GA","cobb","Cardiovascular Diseases","All stroke",13,"per 100,000","Ages 35-64 years","Overall","Overall","13067",60261
"644","2017","GA","cobb","Cardiovascular Diseases","All stroke",13.7,"per 100,000","Ages 35-64 years","Overall","Overall","13067",55306
"645","2016","GA","cobb","Cardiovascular Diseases","All stroke",14.3,"per 100,000","Ages 35-64 years","Overall","Overall","13067",52139
"646","2015","GA","cobb","Cardiovascular Diseases","All stroke",13.6,"per 100,000","Ages 35-64 years","Overall","Overall","13067",50629
"647","2011","GA","cobb","Cardiovascular Diseases","All stroke",12.6,"per 100,000","Ages 35-64 years","Overall","Overall","13067",44368
"648","2018","GA","cobb","Cardiovascular Diseases","All stroke",13.3,"per 100,000","Ages 35-64 years","Overall","Overall","13067",57598
"649","2012","GA","cobb","Cardiovascular Diseases","All stroke",11.9,"per 100,000","Ages 35-64 years","Overall","Overall","13067",45046
"650","2010","GA","cobb","Cardiovascular Diseases","All stroke",12.8,"per 100,000","Ages 35-64 years","Overall","Overall","13067",42186
"651","2016","GA","cobb","Cardiovascular Diseases","All stroke",369.6,"per 100,000","Ages 65 years and older","Overall","Overall","13067",52139
"652","2014","GA","cobb","Cardiovascular Diseases","All stroke",262.8,"per 100,000","Ages 65 years and older","Overall","Overall","13067",48582
"653","2015","GA","cobb","Cardiovascular Diseases","All stroke",308.2,"per 100,000","Ages 65 years and older","Overall","Overall","13067",50629
"654","2017","GA","cobb","Cardiovascular Diseases","All stroke",390,"per 100,000","Ages 65 years and older","Overall","Overall","13067",55306
"655","2019","GA","cobb","Cardiovascular Diseases","All stroke",371.7,"per 100,000","Ages 65 years and older","Overall","Overall","13067",60261
"656","2018","GA","cobb","Cardiovascular Diseases","All stroke",377.1,"per 100,000","Ages 65 years and older","Overall","Overall","13067",57598
"657","2013","GA","cobb","Cardiovascular Diseases","All stroke",254.7,"per 100,000","Ages 65 years and older","Overall","Overall","13067",45741
"658","2011","GA","cobb","Cardiovascular Diseases","All stroke",267.6,"per 100,000","Ages 65 years and older","Overall","Overall","13067",44368
"659","2010","GA","cobb","Cardiovascular Diseases","All stroke",272.5,"per 100,000","Ages 65 years and older","Overall","Overall","13067",42186
"660","2012","GA","cobb","Cardiovascular Diseases","All stroke",256.4,"per 100,000","Ages 65 years and older","Overall","Overall","13067",45046
"661","2013","GA","coffee","Cardiovascular Diseases","All stroke",30.6,"per 100,000","Ages 35-64 years","Overall","Overall","13069",26956
"662","2014","GA","coffee","Cardiovascular Diseases","All stroke",31.6,"per 100,000","Ages 35-64 years","Overall","Overall","13069",27968
"663","2019","GA","coffee","Cardiovascular Diseases","All stroke",31.5,"per 100,000","Ages 35-64 years","Overall","Overall","13069",32872
"664","2017","GA","coffee","Cardiovascular Diseases","All stroke",33.6,"per 100,000","Ages 35-64 years","Overall","Overall","13069",31375
"665","2016","GA","coffee","Cardiovascular Diseases","All stroke",32.8,"per 100,000","Ages 35-64 years","Overall","Overall","13069",29396
"666","2015","GA","coffee","Cardiovascular Diseases","All stroke",33.8,"per 100,000","Ages 35-64 years","Overall","Overall","13069",29508
"667","2011","GA","coffee","Cardiovascular Diseases","All stroke",30.4,"per 100,000","Ages 35-64 years","Overall","Overall","13069",26152
"668","2018","GA","coffee","Cardiovascular Diseases","All stroke",32.8,"per 100,000","Ages 35-64 years","Overall","Overall","13069",31813
"669","2012","GA","coffee","Cardiovascular Diseases","All stroke",31.6,"per 100,000","Ages 35-64 years","Overall","Overall","13069",26016
"670","2010","GA","coffee","Cardiovascular Diseases","All stroke",30.9,"per 100,000","Ages 35-64 years","Overall","Overall","13069",24873
"671","2016","GA","coffee","Cardiovascular Diseases","All stroke",317.6,"per 100,000","Ages 65 years and older","Overall","Overall","13069",29396
"672","2014","GA","coffee","Cardiovascular Diseases","All stroke",339.6,"per 100,000","Ages 65 years and older","Overall","Overall","13069",27968
"673","2015","GA","coffee","Cardiovascular Diseases","All stroke",335.4,"per 100,000","Ages 65 years and older","Overall","Overall","13069",29508
"674","2017","GA","coffee","Cardiovascular Diseases","All stroke",313.9,"per 100,000","Ages 65 years and older","Overall","Overall","13069",31375
"675","2019","GA","coffee","Cardiovascular Diseases","All stroke",299.1,"per 100,000","Ages 65 years and older","Overall","Overall","13069",32872
"676","2018","GA","coffee","Cardiovascular Diseases","All stroke",310,"per 100,000","Ages 65 years and older","Overall","Overall","13069",31813
"677","2013","GA","coffee","Cardiovascular Diseases","All stroke",307.5,"per 100,000","Ages 65 years and older","Overall","Overall","13069",26956
"678","2011","GA","coffee","Cardiovascular Diseases","All stroke",332,"per 100,000","Ages 65 years and older","Overall","Overall","13069",26152
"679","2010","GA","coffee","Cardiovascular Diseases","All stroke",339.5,"per 100,000","Ages 65 years and older","Overall","Overall","13069",24873
"680","2012","GA","coffee","Cardiovascular Diseases","All stroke",312.2,"per 100,000","Ages 65 years and older","Overall","Overall","13069",26016
"681","2013","GA","colquitt","Cardiovascular Diseases","All stroke",24.5,"per 100,000","Ages 35-64 years","Overall","Overall","13071",26955
"682","2014","GA","colquitt","Cardiovascular Diseases","All stroke",24.9,"per 100,000","Ages 35-64 years","Overall","Overall","13071",26867
"683","2019","GA","colquitt","Cardiovascular Diseases","All stroke",25,"per 100,000","Ages 35-64 years","Overall","Overall","13071",33677
"684","2017","GA","colquitt","Cardiovascular Diseases","All stroke",25.7,"per 100,000","Ages 35-64 years","Overall","Overall","13071",32166
"685","2016","GA","colquitt","Cardiovascular Diseases","All stroke",25.1,"per 100,000","Ages 35-64 years","Overall","Overall","13071",30214
"686","2015","GA","colquitt","Cardiovascular Diseases","All stroke",25.5,"per 100,000","Ages 35-64 years","Overall","Overall","13071",29829
"687","2011","GA","colquitt","Cardiovascular Diseases","All stroke",24.5,"per 100,000","Ages 35-64 years","Overall","Overall","13071",27538
"688","2018","GA","colquitt","Cardiovascular Diseases","All stroke",25.8,"per 100,000","Ages 35-64 years","Overall","Overall","13071",32669
"689","2012","GA","colquitt","Cardiovascular Diseases","All stroke",25.2,"per 100,000","Ages 35-64 years","Overall","Overall","13071",27876
"690","2010","GA","colquitt","Cardiovascular Diseases","All stroke",25.3,"per 100,000","Ages 35-64 years","Overall","Overall","13071",26107
